"id" "noj" "tstart" "tfin" "sex" "ti" "tb" "te" "pres" "edu" "tfp" "des" "cohorte" "lfx" "pnoj"
"1" 1 1 555 982 1 982 351 555 34 17 428 0 1 0 0
"2" 2 1 593 638 2 982 357 593 22 10 46 1 1 0 0
"3" 2 2 639 672 2 982 357 593 46 10 34 1 1 46 1
"4" 2 3 673 892 2 982 357 593 46 10 220 1 1 80 2
"5" 3 1 688 699 2 982 473 688 41 11 12 1 2 0 0
"6" 3 2 700 729 2 982 473 688 41 11 30 1 2 12 1
"7" 3 3 730 741 2 982 473 688 44 11 12 1 2 42 2
"8" 3 4 742 816 2 982 473 688 44 11 75 1 2 54 3
"9" 3 5 817 828 2 982 473 688 44 11 12 1 2 129 4
"10" 4 1 872 926 2 982 604 872 55 13 55 1 3 0 0
"11" 5 1 583 650 1 982 377 583 44 11 68 1 1 0 0
"12" 5 2 651 787 1 982 377 583 44 11 137 1 1 68 1
"13" 5 3 788 982 1 982 377 583 44 11 195 0 1 205 2
"14" 6 1 691 716 1 982 492 691 29 11 26 1 2 0 0
"15" 6 2 728 753 1 982 492 691 47 11 26 1 2 37 1
"16" 6 3 771 846 1 982 492 691 47 11 76 1 2 80 2
"17" 6 4 859 982 1 982 492 691 56 11 124 0 2 168 3
"18" 7 1 652 704 2 982 476 652 21 9 53 1 2 0 0
"19" 7 2 705 729 2 982 476 652 22 9 25 1 2 53 1
"20" 7 3 730 735 2 982 476 652 22 9 6 1 2 78 2
"21" 7 4 736 750 2 982 476 652 32 9 15 1 2 84 3
"22" 8 1 838 843 1 982 609 838 44 11 6 1 3 0 0
"23" 8 2 844 891 1 982 609 838 38 11 48 1 3 6 1
"24" 8 3 892 982 1 982 609 838 27 11 91 0 3 54 2
"25" 9 1 591 601 1 982 377 591 41 12 11 1 1 0 0
"26" 9 2 602 633 1 982 377 591 41 12 32 1 1 11 1
"27" 9 3 634 642 1 982 377 591 41 12 9 1 1 43 2
"28" 9 4 643 982 1 982 377 591 41 12 340 0 1 52 3
"29" 10 1 580 700 1 982 382 580 33 11 121 1 1 0 0
"30" 10 2 701 842 1 982 382 580 41 11 142 1 1 121 1
"31" 10 3 862 982 1 982 382 580 55 11 121 0 1 282 2
"32" 11 1 605 631 1 982 361 605 44 12 27 1 1 0 0
"33" 11 2 632 693 1 982 361 605 44 12 62 1 1 27 1
"34" 11 3 694 982 1 982 361 605 44 12 289 0 1 89 2
"35" 12 1 653 806 1 982 473 653 40 9 154 1 2 0 0
"36" 12 2 807 883 1 982 473 653 40 9 77 1 2 154 1
"37" 12 3 884 911 1 982 473 653 18 9 28 1 2 231 2
"38" 12 4 912 982 1 982 473 653 42 9 71 0 2 259 3
"39" 13 1 832 870 2 982 601 832 41 12 39 1 3 0 0
"40" 13 2 871 972 2 982 601 832 44 12 102 1 3 39 1
"41" 14 1 652 687 2 982 471 652 32 9 36 1 2 0 0
"42" 14 2 688 774 2 982 471 652 32 9 87 1 2 36 1
"43" 15 1 820 831 1 982 603 820 44 11 12 1 3 0 0
"44" 15 2 832 843 1 982 603 820 28 11 12 1 3 12 1
"45" 15 3 844 867 1 982 603 820 38 11 24 1 3 24 2
"46" 15 4 868 891 1 982 603 820 31 11 24 1 3 48 3
"47" 15 5 892 982 1 982 603 820 44 11 91 0 3 72 4
"48" 16 1 831 847 2 982 595 831 49 11 17 1 3 0 0
"49" 16 2 879 893 2 982 595 831 49 11 15 1 3 48 1
"50" 16 3 970 982 2 982 595 831 30 11 13 0 3 139 2
"51" 17 1 595 630 2 982 361 595 46 11 36 1 1 0 0
"52" 17 2 631 665 2 982 361 595 46 11 35 1 1 36 1
"53" 17 3 666 706 2 982 361 595 46 11 41 1 1 71 2
"54" 17 4 712 830 2 982 361 595 46 11 119 1 1 117 3
"55" 17 5 831 900 2 982 361 595 48 11 70 1 1 236 4
"56" 17 6 891 918 2 982 361 595 46 11 28 1 1 296 5
"57" 17 7 919 962 2 982 361 595 46 11 44 1 1 324 6
"58" 17 8 970 982 2 982 361 595 46 11 13 0 1 375 7
"59" 18 1 532 568 2 982 364 532 22 9 37 1 1 0 0
"60" 18 2 569 608 2 982 364 532 22 9 40 1 1 37 1
"61" 19 1 724 789 1 982 501 724 34 11 66 1 2 0 0
"62" 19 2 826 982 1 982 501 724 40 11 157 0 2 102 1
"63" 20 1 862 885 1 982 616 862 45 19 24 1 3 0 0
"64" 21 1 689 696 1 982 484 689 31 11 8 1 2 0 0
"65" 21 2 697 704 1 982 484 689 31 11 8 1 2 8 1
"66" 21 3 705 982 1 982 484 689 31 11 278 0 2 16 2
"67" 22 1 709 723 1 982 482 709 39 11 15 1 2 0 0
"68" 22 2 742 982 1 982 482 709 39 11 241 0 2 33 1
"69" 23 1 855 857 1 982 607 855 31 13 3 1 3 0 0
"70" 23 2 858 912 1 982 607 855 31 13 55 1 3 3 1
"71" 23 3 913 941 1 982 607 855 47 13 29 1 3 58 2
"72" 23 4 942 982 1 982 607 855 47 13 41 0 3 87 3
"73" 24 1 700 711 2 982 490 700 32 13 12 1 2 0 0
"74" 24 2 726 750 2 982 490 700 20 13 25 1 2 26 1
"75" 24 3 751 781 2 982 490 700 18 13 31 1 2 51 2
"76" 24 4 938 948 2 982 490 700 20 13 11 1 2 238 3
"77" 25 1 545 582 2 982 380 545 26 11 38 1 1 0 0
"78" 25 2 595 648 2 982 380 545 26 11 54 1 1 50 1
"79" 25 3 649 697 2 982 380 545 22 11 49 1 1 104 2
"80" 25 4 698 719 2 982 380 545 22 11 22 1 1 153 3
"81" 25 5 721 770 2 982 380 545 18 11 50 1 1 176 4
"82" 26 1 831 843 1 982 497 831 51 13 13 1 2 0 0
"83" 26 2 844 982 1 982 497 831 51 13 139 0 2 13 1
"84" 27 1 670 702 2 982 490 670 26 9 33 1 2 0 0
"85" 27 2 703 712 2 982 490 670 32 9 10 1 2 33 1
"86" 27 3 713 772 2 982 490 670 26 9 60 1 2 43 2
"87" 27 4 773 781 2 982 490 670 26 9 9 1 2 103 3
"88" 27 5 971 977 2 982 490 670 26 9 7 1 2 301 4
"89" 27 6 978 982 2 982 490 670 26 9 5 0 2 308 5
"90" 28 1 652 667 1 982 377 652 32 12 16 1 1 0 0
"91" 28 2 668 701 1 982 377 652 52 12 34 1 1 16 1
"92" 28 3 702 709 1 982 377 652 52 12 8 1 1 50 2
"93" 28 4 710 855 1 982 377 652 38 12 146 1 1 58 3
"94" 28 5 856 982 1 982 377 652 38 12 127 0 1 204 4
"95" 29 1 619 672 1 982 366 619 46 11 54 1 1 0 0
"96" 29 2 673 982 1 982 366 619 46 11 310 0 1 54 1
"97" 30 1 533 676 2 982 364 533 40 9 144 1 1 0 0
"98" 31 1 811 880 2 982 607 811 32 11 70 1 3 0 0
"99" 31 2 881 917 2 982 607 811 40 11 37 1 3 70 1
